Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
"IPI00465809.2;IPI00653751.1"	"Kinesin-like protein KIF3B;Microtubule plus end-directed kinesin motor 3B"	Kif3b	Kinesin-like protein KIF3B	"Q61771;Q3UFZ8;Q3UHC4;Q6P1D3;Q80U27;Q8BNH4"	NP_032470	NM_008444	ENSMUST00000028977	MGI:107688	747	85,29	410,06	366,01	387,41	5,53	7,14	6,28	67,12	NA	67,12	8,06	13	10,23	0,6	NA	0,6	2,61	NA	2,61
"IPI00670928.3;IPI00885543.1;IPI00831089.3;IPI00944078.1;IPI00225761.5;IPI00554840.2"	"Camsap1l1 protein;MCG130966, isoform CRA_b;Calmodulin-regulated spectrin-associated protein 1-like protein 1"	"Camsap1l1;mCG_130966;Kiaa1078"	"calmodulin regulated spectrin-associated protein 1-like 1;Isoform 2 of Calmodulin-regulated spectrin-associated protein 2;Isoform 1 of Calmodulin-regulated spectrin-associated protein 2"	"B2RRE3;Q8C1B1-2;Q8C1B1;Q8C1B1-1;B7ZNI4"	NP_001074829	NM_001081360	ENSMUST00000048309	"MGI:1922434;MGI:1922434;MGI:1922434"	1478	166,15	409,45	1288,1	726,23	7,9	10,08	8,92	54,38	NA	54,38	4,83	5,18	5	1,3	NA	1,3	1,94	NA	1,94
IPI00225777.3	Putative uncharacterized protein	C130039O16Rik	hypothetical protein LOC238317	"Q3U224;Q8BUZ9"	"NP_001156973;NP_001156974"	NM_001163501	"ENSMUST00000046266;ENSMUST00000110294"	MGI:2685106	1089	119,72	408,74	320,31	361,83	4,4	6,74	5,44	17,16	19,37	18,23	4,04	2,98	3,47	0,84	1,68	1,19	6	2,69	4,02
"IPI00938479.1;IPI00776350.1;IPI00652498.2"	WD repeat-containing protein 81	Wdr81	WD repeat domain 81	"Q5ND34-1;Q5ND34;Q3UU62;Q68EM0;Q6P8W0;Q8R159"	NP_620400	NM_138950	"ENSMUST00000051512;ENSMUST00000100845;ENSMUST00000117392"	MGI:2681828	1934	211,94	408,32	634,72	509,09	6,19	9,3	7,59	76,78	6,93	23,07	9,07	8,09	8,57	0,61	0,97	0,77	2,24	8,23	4,29
"IPI00652450.2;IPI00648930.2"	"Lethal(2) giant larvae protein homolog 2;Lethal giant larvae-like protein 2;Lethal giant larvae homolog 2 (Drosophila)"	"Llgl2;Llglh2;RP23-332L17.1-004"	"Lethal(2) giant larvae protein homolog 2;Lethal giant larvae homolog 2"	"Q3TJ91;Q8BVC8;B1ATA9"	NP_663413	NM_145438	"ENSMUST00000103032;ENSMUST00000021139"	MGI:1918843	1027	114,32	406,3	NA	406,3	5,72	5,42	5,57	23,1	NA	23,1	10,79	10,7	10,75	0,49	NA	0,49	3,89	NA	3,89
"IPI00938460.1;IPI00554827.1;IPI00938455.1;IPI00653380.1"	"Putative uncharacterized protein;MKIAA4082 protein"	"F730015K02Rik;Dennd4a;AI115600;mKIAA4082"	"DENN/MADD domain containing 4A;MKIAA4082 protein (Fragment);Putative uncharacterized protein;Putative uncharacterized protein"	"Q3TZ11;Q8CBI8;Q5DTP4;B7ZWJ7;Q3TYW8"	NP_001156389	NM_001162917	"ENSMUST00000098640;ENSMUST00000038890;ENSMUST00000089035"	"MGI:2442199;MGI:2142979;MGI:2442199"	1869	209,3	401,38	72,36	170,42	3,42	2,81	3,1	37,83	NA	37,83	6,75	5,37	6,02	0,42	NA	0,42	5,06	NA	5,06
"IPI00129159.1;IPI00222053.1;IPI00222052.1;IPI00222049.1;IPI00222057.1"	Neogenin	"Neo1;Ngn"	"Isoform 1 of Neogenin;Isoform 4 of Neogenin;Isoform 3 of Neogenin;Isoform 2 of Neogenin;Isoform 5 of Neogenin"	"P97798-1;P97798;P97798-4;Q7TQG5;P97798-3;P97798-2;P97798-5"	"NP_032710;NP_001036217"	NM_008684	"ENSMUST00000068664;ENSMUST00000114096;ENSMUST00000114098"	"MGI:1097159;MGI:1097159;MGI:1097159;MGI:1097159;MGI:1097159"	1493	163,16	401,37	457	428,28	16,46	21,23	18,7	6,88	6,11	6,48	18,51	19,34	18,92	0,99	1,18	1,09	3,06	2,9	2,98
"IPI00331459.1;IPI00462986.2;IPI00405473.6;IPI00874877.1;IPI00474575.5;IPI00124800.2;IPI00875862.1;IPI00850317.1"	"Keratin, type II cuticular Hb5;Type II hair keratin Hb5;Keratin-85;Keratin, type II cuticular Hb3;Type II hair keratin Hb3;Keratin-83;Type-II keratin Kb25;Keratin, type II cuticular Hb6;Type II hair keratin Hb6;Keratin-86;Keratin, type II cuticular Hb1;Type II hair keratin Hb1;Keratin-81;Keratin type II"	"Krt85;Krt2-18;Krthb5;Krt83;Kb25;Krt2-25;Krt86;Krt2-10;Krthb6;Krt81;Krt2-19;5430421N21Rik"	"Keratin, type II cuticular Hb5;Keratin, type II cuticular Hb3;Keratin, type II cuticular Hb6;53 kDa protein;keratin complex 2, basic, gene 19;Keratin type II;48 kDa protein"	"Q9Z2T6;Q6IMF0;P97861;B2RTB6;Q3TUZ8;Q9ERE2;Q61726"	"NP_058575;NP_001003668;NP_034797;NP_001159629"		"ENSMUST00000081945;ENSMUST00000088049;ENSMUST00000061185;ENSMUST00000023718"	"MGI:1859268;MGI:3665486;MGI:109362;MGI:1928858;MGI:3690448"	507	55,76	399,02	2379,67	974,44	NA	NA	NA	100,32	NA	100,32	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00119881.1;IPI00754365.1;IPI00885657.1"	"G patch domain-containing protein 1;Putative uncharacterized protein"	"Gpatch1;Gpatc1"	"G patch domain-containing protein 1;Putative uncharacterized protein;98 kDa protein"	"Q9DBM1;Q3U3V2"	NP_080457	NM_026181	"ENSMUST00000079693;ENSMUST00000108054"	"MGI:1914721;MGI:1914721"	930	103,01	397,47	NA	397,47	2,81	3,22	3,01	36,43	NA	36,43	4,84	8,27	6,33	0,46	NA	0,46	6,16	NA	6,16
"IPI00467933.2;IPI00877263.1;IPI00877187.1;IPI00877196.1;IPI00877202.1"	Zinc finger SWIM domain-containing protein KIAA0913	Kiaa0913	"Isoform 1 of Zinc finger SWIM domain-containing protein KIAA0913;Isoform 3 of Zinc finger SWIM domain-containing protein KIAA0913;Isoform 2 of Zinc finger SWIM domain-containing protein KIAA0913"	"Q3UHH1-1;Q3UHH1;B7ZWK9;Q3UHH1-3;Q3UHH1-2"	NP_082272	NM_027996	ENSMUST00000022358	"MGI:1919156;MGI:1919156;MGI:1919156"	1832	197,06	390,49	71,41	166,99	14,67	15,64	15,15	12,3	NA	12,3	10,96	9,33	10,11	1,25	NA	1,25	2,16	NA	2,16
"IPI00226581.1;IPI00756836.1"	"REST corepressor 2;M-CoREST"	Rcor2	"REST corepressor 2;REST corepressor 2"	Q8C796	NP_473389	NM_054048	"ENSMUST00000025920;ENSMUST00000066646"	MGI:1859854	523	57,91	390,21	321,91	354,42	11	8,34	9,58	10,21	NA	10,21	5,31	6,96	6,08	1,66	NA	1,66	3,26	NA	3,26
"IPI00555087.1;IPI00314905.3"	Aftiphilin	"Aftph;Afth"	"Isoform 1 of Aftiphilin;Isoform 2 of Aftiphilin"	"Q80WT5-1;Q80WT5;Q80WT5-2;Q3U8A4;Q3UU49;Q8C993"	NP_852076	NM_181411	"ENSMUST00000035350;ENSMUST00000094376"	"MGI:1923012;MGI:1923012"	931	101,13	388,18	57,99	150,03	12,13	13,57	12,83	24,39	NA	24,39	4,84	5,65	5,23	1,99	NA	1,99	1,69	NA	1,69
"IPI00125493.5;IPI00467582.3;IPI00760074.1;IPI00831703.2"	"Myosin light chain kinase, smooth muscle;Telokin;Kinase-related protein"	Mylk	"myosin, light polypeptide kinase;Isoform 3 of Myosin light chain kinase, smooth muscle;Isoform 2 of Myosin light chain kinase, smooth muscle"	"Q6PDN3-1;Q6PDN3;B1B1A8;Q6PDN3-3;Q6PDN3-2;Q8CIY5;Q8CIY6"	NP_647461	NM_139300	"ENSMUST00000023538;ENSMUST00000114930"	"MGI:894806;MGI:894806;MGI:894806"	1950	213,61	386,32	758,42	541,29	4,7	7,77	6,04	50,92	36,81	43,29	11,43	23,32	16,32	0,39	0,39	0,39	3,17	3,97	3,55
IPI00222147.1	"RUN and FYVE domain-containing protein 1;Rab4-interacting protein"	"Rufy1;Rabip4"	RUN and FYVE domain-containing protein 1	Q8BIJ7	NP_766145	NM_172557	ENSMUST00000020643	MGI:2429762	712	80,38	385,72	NA	385,72	4,41	7,51	5,76	24,33	NA	24,33	8,67	17,21	12,22	0,45	NA	0,45	4,65	NA	4,65
"IPI00471431.4;IPI00676215.2;IPI00622570.3;IPI00671787.1"	WW domain-containing adapter protein with coiled-coil	"Wac;Kiaa1844"	"Isoform 1 of WW domain-containing adapter protein with coiled-coil;Isoform 2 of WW domain-containing adapter protein with coiled-coil;Isoform 3 of WW domain-containing adapter protein with coiled-coil;similar to WW domain-containing adapter protein with co"	"Q924H7-1;Q924H7;Q924H7-2;Q924H7-3"	"NP_694725;XP_001473481;XP_001473504;NP_001139770;XP_001473520"	NM_153085	"ENSMUST00000074919;ENSMUST00000092112"	"MGI:2387357;MGI:2387357;MGI:2387357"	646	70,68	384,3	79,99	175,33	8,56	8,59	8,57	26,83	NA	26,83	5,1	7,06	6	1,34	NA	1,34	2,26	NA	2,26
"IPI00415751.4;IPI00129431.1;IPI00894989.1"	"Putative uncharacterized protein;Tyrosine-protein kinase transmembrane receptor ROR2;Neurotrophic tyrosine kinase, receptor-related 2;Ror2 protein"	Ror2	"Putative uncharacterized protein;Tyrosine-protein kinase transmembrane receptor ROR2;Ror2 protein"	"Q3TZP9;Q8BSP6;Q8C3W2;Q9Z138;Q8K0Q8"	NP_038874	NM_013846	ENSMUST00000021918	"MGI:1347521;MGI:1347521;MGI:1347521"	944	105	383,01	421,71	401,9	7,34	13,96	10,12	12,84	NA	12,84	8,28	6,92	7,57	0,77	NA	0,77	4,09	NA	4,09
IPI00136246.1	"Membrane-associated phosphatidylinositol transfer protein 1;Phosphatidylinositol transfer protein, membrane-associated 1;Mpt-1;Pyk2 N-terminal domain-interacting receptor 2;Drosophila retinal degeneration B homolog 1"	"Pitpnm1;Dres9;Mpt1;Nir2;Pitpnm"	Membrane-associated phosphatidylinositol transfer protein 1	O35954	"NP_001129550;NP_032877"	NM_001136078	"ENSMUST00000049658;ENSMUST00000100022"	MGI:1197524	1243	134,94	380,17	96,66	191,69	19,49	15,59	17,43	39,97	NA	39,97	8,58	8,5	8,54	2	NA	2	0,82	NA	0,82
IPI00117632.2	Putative uncharacterized protein	Wdr6	Putative uncharacterized protein	"Q3TEZ2;Q3TMH3;Q8CFV1;Q8R539;Q99ME2"	NP_113569	NM_031392	ENSMUST00000068700	MGI:1930140	1125	121,87	375,52	2564,42	981,32	15,5	20,12	17,66	8,38	13,27	10,55	13,85	15,42	14,62	1,13	1,3	1,21	2,6	9,4	4,94
"IPI00118333.2;IPI00850325.1"	"Transmembrane protein 131;Protein RW1"	"Tmem131;D1Bwg0491e;Kiaa0257;Rw1"	"transmembrane protein 131;similar to transmembrane protein 131"	"O70472;A4VCH7;Q9CSR0"	"NP_061360;XP_001477925"	NM_018872	ENSMUST00000027290	MGI:1927110	1877	204,65	369,88	130,47	219,68	16,26	18,52	17,35	33,65	NA	33,65	14,76	19,68	17,05	1,13	NA	1,13	1,04	NA	1,04
IPI00131330.9	Putative uncharacterized protein	Usp32	ubiquitin specific protease 32	"Q3US74;Q5SX11;Q6PD17;Q7TT84;Q8CCP4"	NP_001025105	NM_001029934	"ENSMUST00000000821;ENSMUST00000108075"	MGI:2144475	1604	181,73	366,57	804,01	542,89	6,84	6,58	6,71	35,07	89,84	56,13	6,35	10,81	8,29	0,89	0,55	0,7	2,38	3,61	2,93
IPI00378364.3	"Gene model 962, (NCBI);Putative uncharacterized protein"	Gm962	Putative uncharacterized protein	Q3TAP4	NP_001028620	NM_001033448	ENSMUST00000096318	MGI:2685808	876	94,68	365,76	233,77	292,41	3,37	4,48	3,89	27,42	NA	27,42	5,76	5,22	5,48	0,48	NA	0,48	5,41	NA	5,41
"IPI00330903.3;IPI00223767.3;IPI00785500.1;IPI00650033.1"	"Pantothenate kinase 4;Pantothenic acid kinase 4"	Pank4	"Isoform 1 of Pantothenate kinase 4;Isoform 2 of Pantothenate kinase 4;Isoform 3 of Pantothenate kinase 4"	"Q80YV4-1;Q80YV4;Q80YV4-2;Q80YV4-3"	NP_766578	NM_172990	"ENSMUST00000030931;ENSMUST00000070953"	"MGI:2387466;MGI:2387466;MGI:2387466"	820	91,52	365,1	521,63	436,4	NA	NA	NA	55,84	111,54	78,92	5,06	4,01	4,5	NA	NA	NA	NA	NA	NA
IPI00227565.2	Leucine-rich repeat serine/threonine-protein kinase 2	Lrrk2	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S006	NP_080006	NM_025730	ENSMUST00000060642	MGI:1913975	2527	284,79	364,82	201,35	271,03	NA	NA	NA	3,59	NA	3,59	11,19	18,05	14,21	NA	NA	NA	NA	NA	NA
"IPI00408277.4;IPI00881188.1;IPI00403485.7;IPI00462263.4;IPI00830336.4"	MKIAA0657 protein	"Obsl1;AW822216;mKIAA0657"	"obscurin-like 1;114 kDa protein;MKIAA0657 protein"	Q80TU8	NP_849215	NM_178884	"ENSMUST00000064469;ENSMUST00000113567"	MGI:2138628	1804	197,93	364,19	1034,97	613,94	6,59	8,66	7,56	129,02	NA	129,02	13,72	14,75	14,23	0,48	NA	0,48	1,68	NA	1,68
"IPI00653220.2;IPI00882071.1"	Putative uncharacterized protein	6030436E02Rik	hypothetical protein LOC215476	Q3UYV6	NP_919321	NM_194340	"ENSMUST00000094889;ENSMUST00000120129"	MGI:3588189	1971	215,82	362,15	3466,23	1120,4	7,05	5,26	6,09	134,11	NA	134,11	3,7	2,83	3,24	1,46	NA	1,46	1,53	NA	1,53
"IPI00403501.2;IPI00652541.2;IPI00889315.1;IPI00625661.2"	Gamma-tubulin complex component 5	"Tubgcp5;Kiaa1899"	"Isoform 1 of Gamma-tubulin complex component 5;Isoform 2 of Gamma-tubulin complex component 5;Isoform 3 of Gamma-tubulin complex component 5"	"Q8BKN5-1;Q8BKN5;Q3UY55;Q8R2X3;Q8BKN5-2;Q8BKN5-3"	NP_666302	NM_146190	"ENSMUST00000032627;ENSMUST00000094359"	"MGI:2178836;MGI:2178836;MGI:2178836"	1024	117,98	358,89	34,11	110,64	8,74	8,84	8,79	65,89	NA	65,89	3,85	5,18	4,47	1,75	NA	1,75	1,44	NA	1,44
IPI00341601.1	"F-box only protein 38;Modulator of KLF7 activity"	Fbxo38	F-box only protein 38	"Q8BMI0;Q8BM64;Q8R576"	NP_598897	NM_134136	ENSMUST00000048688	MGI:2444639	1194	133,93	358,59	NA	358,59	7,32	8,2	7,75	8,79	NA	8,79	6,89	8,56	7,68	0,89	NA	0,89	5,04	NA	5,04
"IPI00620585.2;IPI00346041.5;IPI00754201.3;IPI00474986.1"	"Ankyrin repeat and SAM domain containing 1;Putative uncharacterized protein;Ankyrin repeat and SAM domain-containing protein 1A"	"Anks1;RP23-31O23.1-002;Anks1a;Kiaa0229"	"Putative uncharacterized protein;Isoform 2 of Ankyrin repeat and SAM domain-containing protein 1A;Isoform 1 of Ankyrin repeat and SAM domain-containing protein 1A"	"Q3UHP6;P59672-2;P59672;B2KF16;P59672-1;B2KF14;Q3TE53"	NP_852078	NM_181413	"ENSMUST00000025058;ENSMUST00000088027;ENSMUST00000097358;ENSMUST00000114842"	"MGI:2446180;MGI:2446180;MGI:2446180"	1189	129,56	358,14	1186,49	651,87	2,75	3,12	2,93	103,86	147,41	123,73	7,91	9,51	8,68	0,3	0,29	0,29	4,11	10,09	6,44
"IPI00308391.5;IPI00411014.1;IPI00856136.1"	Zinc finger protein 592	"Znf592;Kiaa0211;Zfp592"	Zinc finger protein 592	"Q8BHZ4;Q0VF56;Q3UPC8;Q52KI9"	NP_848822	NM_178707	ENSMUST00000107353	MGI:2443541	1262	137,51	358,08	613,72	468,78	7,05	9,42	8,15	35,45	NA	35,45	6,71	5,23	5,92	0,88	NA	0,88	2,25	NA	2,25
"IPI00467530.3;IPI00831178.1;IPI00356147.4;IPI00480399.1;IPI00831353.1;IPI00755288.2;IPI00463138.1;IPI00831081.1;IPI00169851.4;IPI00831442.1;IPI00831454.1;IPI00831268.1"	"Actin-binding LIM protein 1;Actin-binding LIM protein family member 1;Putative uncharacterized protein;Ablim1 protein"	"Ablim1;Ablim;Kiaa0059"	"Isoform 1 of Actin-binding LIM protein 1;87 kDa protein;Ablim1 protein;Isoform 3 of Actin-binding LIM protein 1;84 kDa protein;80 kDa protein;Isoform 2 of Actin-binding LIM protein 1;77 kDa protein;Putative uncharacterized protein;52 kDa protein;49 kDa pro"	"Q8K4G5-1;Q8K4G5;Q8K4G5-4;B9EIV0;Q9EPW6;Q8K4G5-3;Q8K4G5-2;Q3TAG5;Q3UP03;Q8K278"	"NP_848803;NP_001096648;NP_001096647"	NM_178688	"ENSMUST00000079360;ENSMUST00000036802;ENSMUST00000111544;ENSMUST00000111526;ENSMUST00000111528;ENSMUST00000111529"	"MGI:1194500;MGI:1194500;MGI:1194500;MGI:1194500;MGI:1194500;MGI:1194500"	861	96,8	357,73	508,08	426,33	5,51	5,57	5,54	27,15	NA	27,15	7,32	8,16	7,72	0,64	NA	0,64	3,26	NA	3,26
"IPI00608103.1;IPI00607912.1"	"ETS-related transcription factor Elf-2;E74-like factor 2;New ETS-related factor"	"Elf2;Nerf"	"Isoform 3 of ETS-related transcription factor Elf-2;Isoform 2 of ETS-related transcription factor Elf-2"	"Q9JHC9-4;Q9JHC9;Q9JHC9-3;A9L8S8;Q3UZ20;Q9CSY3"			"ENSMUST00000091144;ENSMUST00000108053"	"MGI:1916507;MGI:1916507"	533	57	355,86	NA	355,86	NA	NA	NA	7,5	NA	7,5	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00344626.2;IPI00387288.3"	"Glycerol-3-phosphate acyltransferase 1, mitochondrial;P90;MKIAA1560 protein"	"Gpam;Gpat1;mKIAA1560"	"Glycerol-3-phosphate acyltransferase 1, mitochondrial;Mitochondrial glycerol-3-phosphate acyltransferase"	"Q61586;Q69ZG4;Q8VCT2"	NP_032175	NM_008149	"ENSMUST00000061856;ENSMUST00000086868"	"MGI:109162;MGI:109162"	827	93,69	345,56	NA	345,56	3,64	3,16	3,39	34,6	NA	34,6	7,13	8,78	7,91	0,43	NA	0,43	4,25	NA	4,25
"IPI00459268.3;IPI00223890.1"	Microtubule-associated serine/threonine-protein kinase-like	Mastl	"microtubule associated serine/threonine kinase-like;Isoform 1 of Microtubule-associated serine/threonine-protein kinase-like"	"Q8C0P0-2;Q8C0P0;A2AQY2;Q3MIA9;Q8C0P0-1"	NP_080255	NM_025979	ENSMUST00000028119	"MGI:1914371;MGI:1914371"	865	95,97	336,91	3388,53	1068,47	4,75	3,52	4,09	9,89	NA	9,89	5,05	7,47	6,14	0,75	NA	0,75	6,66	NA	6,66
"IPI00229430.3;IPI00856476.1"	"Protein fantom;RPGR-interacting protein 1-like protein"	"Rpgrip1l;Ftm"	Protein fantom	Q8CG73	NP_775607		ENSMUST00000047783	MGI:1920563	1264	144,87	334,27	1057,73	594,61	NA	NA	NA	22,94	NA	22,94	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00377925.2;IPI00903395.1;IPI00654970.1;IPI00377926.3"	Autophagy-related protein 2 homolog B	Atg2b	Isoform 1 of Autophagy-related protein 2 homolog B	"Q80XK6-2;Q80XK6"	NP_083930	NM_029654	ENSMUST00000041055	MGI:1923809	2075	231,4	331,23	590,73	442,35	4,52	5,73	5,09	25,16	NA	25,16	11,62	11,83	11,73	0,37	NA	0,37	3,84	NA	3,84
"IPI00420527.2;IPI00650031.1;IPI00875730.1;IPI00875022.1;IPI00895020.1"	Uncharacterized protein KIAA1522	Kiaa1522	"Isoform 2 of Uncharacterized protein KIAA1522;Isoform 4 of Uncharacterized protein KIAA1522;Isoform 1 of Uncharacterized protein KIAA1522;Isoform 3 of Uncharacterized protein KIAA1522"	"A2A7S8-2;A2A7S8;A2A7S8-4;A2A7S8-1;A2A7S8-3"	NP_001028361	NM_001033189	"ENSMUST00000052602;ENSMUST00000097873;ENSMUST00000106051"	"MGI:2140651;MGI:2140651;MGI:2140651;MGI:2140651"	1070	110,65	330,47	2344,46	880,22	13,29	18,04	15,48	28,42	0,44	3,53	9	5,87	7,27	1,31	2,46	1,8	1,22	208,3	15,97
"IPI00828510.1;IPI00660406.2;IPI00653556.2;IPI00222329.12;IPI00675295.2"	"Zinc finger, NFX1-type containing 1;MCG14615;NFX1-type zinc finger-containing protein 1"	"Znfx1;RP23-19L12.5-001;mCG_14615;RP23-19L12.5-004"	"zinc finger, NFX1-type containing 1;NFX1-type zinc finger-containing protein 1;Zinc finger, NFX1-type containing 1"	"A2A5R3;Q8R151;A2A5R6"	NP_001028368	NM_001033196	"ENSMUST00000048988;ENSMUST00000067584"	"MGI:2138982;MGI:2138982;MGI:2138982"	1909	218,83	329,3	3307,49	1043,62	3,81	4,09	3,95	29,95	165,4	70,38	5,28	6,25	5,75	0,58	0,53	0,55	4,12	20,92	9,29
"IPI00884540.1;IPI00314352.1"	"Polycystin-2 delta7 variant;Polycystin-2;Polycystic kidney disease 2 protein homolog"	Pkd2	"polycystic kidney disease 2;Polycystin-2"	"C0KJK2;Q8BPR6;Q9ES37;O35245"	NP_032887	NM_008861	ENSMUST00000086831	"MGI:1099818;MGI:1099818"	966	108,98	328,73	NA	328,73	19,37	23,25	21,22	23,59	NA	23,59	8,5	10,51	9,45	2	NA	2	0,92	NA	0,92
IPI00330756.1	UPF0505 protein C16orf62 homolog		Isoform 3 of UPF0505 protein C16orf62 homolog	"Q8BWQ6-3;Q8BWQ6"			"ENSMUST00000033280;ENSMUST00000033287;ENSMUST00000059390"	MGI:1918767	728	83	317,97	81,95	161,42	NA	NA	NA	12,04	NA	12,04	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00474026.2;IPI00125444.1"	"Lysyl oxidase-like 4;Lysyl oxidase homolog 4;Lysyl oxidase-like protein 4;Lysyl oxidase-related protein C"	"Loxl4;Loxc"	"lysyl oxidase-like 4 isoform 1;Lysyl oxidase homolog 4"	"Q6NV59;Q8CEU1;Q924C6;Q8CET3"	"NP_001157783;NP_444313"	NM_001164311	ENSMUST00000026190	"MGI:1914823;MGI:1914823"	758	84,91	308,28	500,19	392,68	18,98	19,26	19,12	2,45	NA	2,45	14,42	28,54	20,29	1,34	NA	1,34	4,98	NA	4,98
"IPI00230061.2;IPI00625928.3;IPI00421267.1;IPI00400209.1;IPI00606692.1"	"Plectin-1;Plectin-6"	Plec1	"Isoform PLEC-0 of Plectin-1;Isoform PLEC-1B of Plectin-1;Isoform PLEC-1D of Plectin-1;Isoform PLEC-1H of Plectin-1"	"Q9QXS1-8;Q9QXS1;Q8C8S5;Q9QXS1-5;Q6S387;Q9QXS1-10;Q6S388;Q9QXS1-15;Q6S390"	"NP_001157014;NP_958793;NP_958792;NP_001157675;NP_958789;NP_958790;NP_958794"	NM_001163542	"ENSMUST00000023226;ENSMUST00000054449;ENSMUST00000071869;ENSMUST00000072692;ENSMUST00000073418;ENSMUST00000074834;ENSMUST00000076355;ENSMUST00000076442;ENSMUST00000080857;ENSMUST00000089610"	"MGI:1277961;MGI:1277961;MGI:1277961;MGI:1277961"	4589	521,93	302,76	274,36	288,21	100,49	142,63	119,72	81,52	124,82	100,87	10,71	9,44	10,05	8,73	13,18	10,73	0,1	0,05	0,07
"IPI00420585.2;IPI00876229.1"	"Novel protein;Putative uncharacterized protein"	"RP23-136P3.1;RP23-136P3.1-001;F730047E07Rik"	"hypothetical protein LOC212377;Putative uncharacterized protein"	"B1AUR6;B7ZN61;Q80UT0;Q6R5F9;Q8R3F6"	NP_955761	NM_199467	"ENSMUST00000108222;ENSMUST00000050446"	"MGI:2684980;MGI:2684980"	1238	140,58	299,85	68,15	142,96	8,07	7,53	7,8	24,12	NA	24,12	7,87	8,41	8,14	0,88	NA	0,88	1,99	NA	1,99
IPI00467906.3	"NF-kappa-B inhibitor-like protein 2;Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2;Inhibitor of kappa B-related protein"	"Nfkbil2;Ikbr"	NF-kappa-B inhibitor-like protein 2	Q6NZL6	NP_898914	NM_183091	ENSMUST00000079806	MGI:1919999	1363	151,11	295,84	NA	295,84	17,08	19,33	18,17	13,03	NA	13,03	7,75	9,73	8,68	1,9	NA	1,9	1,35	NA	1,35
"IPI00109178.1;IPI00756571.1;IPI00754969.2;IPI00943454.1;IPI00895026.1;IPI00894971.1"	"Hamartin;Tuberous sclerosis 1"	"Tsc1;Kiaa0243"	"Isoform 1 of Hamartin;Isoform 2 of Hamartin;Isoform 3 of Hamartin;Isoform 4 of Hamartin"	"Q9EP53-1;Q9EP53;Q9EP53-2;Q9EP53-3;Q8BQP0;Q9EP53-4"	NP_075025	NM_022887	ENSMUST00000113869	"MGI:1929183;MGI:1929183;MGI:1929183;MGI:1929183"	1161	128,74	295,17	189,79	236,69	3,78	4,02	3,9	52,3	NA	52,3	5,7	5,66	5,68	0,54	NA	0,54	2,96	NA	2,96
IPI00121225.1	Echinoderm microtubule-associated protein-like 3	Eml3	Echinoderm microtubule-associated protein-like 3	Q8VC03	NP_659121	NM_144872	ENSMUST00000096241	MGI:2387612	897	95,69	294,75	514,78	389,53	17,39	18,09	17,74	31,65	18,72	24,34	9,34	10,19	9,75	1,67	1,58	1,62	0,79	1,67	1,15
"IPI00890892.1;IPI00875785.2;IPI00265190.3"	"Trinucleotide repeat-containing gene 18 protein;Zinc finger protein 469"	"Tnrc18;Kiaa1856;Zfp469"	"Isoform 1 of Trinucleotide repeat-containing gene 18 protein;trinucleotide repeat containing 18 isoform A;Isoform 2 of Trinucleotide repeat-containing gene 18 protein"	"Q80WC3-1;Q80WC3;Q80WC3-3;Q52KG0;Q80WC3-2"	"NP_001116202;NP_839973"	NM_001122730	"ENSMUST00000036253;ENSMUST00000100498"	"MGI:3648294;MGI:3648294;MGI:3648294"	2878	307,63	291,87	59,86	132,18	13,41	16,4	14,83	11,8	NA	11,8	7,36	13,09	9,82	1,55	NA	1,55	1,81	NA	1,81
